month,amount_to_norm_ratio,is_breeding,is_selection,district_historical_score,climate_risk,region_encoded,Район хозяйства_encoded,Направление водства_encoded,target
1,308.9794013732418,1,1,0.9369369369369369,0.55,15,53,7,1
1,242.983801079928,1,1,0.9444444444444444,0.55,15,178,7,1
1,98.99934000439997,1,0,0.9444444444444444,0.55,15,178,7,1
1,175.98826744883675,1,1,0.9444444444444444,0.55,15,178,7,1
1,149.99000066662222,1,1,0.9444444444444444,0.55,15,178,7,1
1,26.999820001199993,1,0,0.9444444444444444,0.55,15,178,7,1
1,23.99984000106666,1,0,0.9444444444444444,0.55,15,178,7,1
1,179.98800079994666,1,1,0.8611111111111112,0.35,4,143,7,1
1,53.996400239984,1,1,0.9444444444444444,0.55,15,178,7,1
1,110.99260049330044,1,1,0.8611111111111112,0.35,4,143,7,1
1,29.998000133324446,1,1,0.8611111111111112,0.35,4,143,7,1
1,59.99600026664889,1,1,0.8611111111111112,0.35,4,143,7,1
1,122.99180054663023,1,1,0.9444444444444444,0.55,15,178,7,1
1,110.99260049330044,1,1,0.8611111111111112,0.35,4,143,7,1
1,14.999000066662223,1,1,0.8611111111111112,0.35,4,143,7,1
1,89.99940000399998,1,0,0.8611111111111112,0.35,4,143,7,1
1,120.99193387107526,1,1,0.8611111111111112,0.35,4,143,7,1
1,137.99080061329244,1,1,0.8611111111111112,0.35,4,143,7,1
1,59938.09523809524,0,0,0.8258928571428571,0.75,5,26,7,0
1,70.99526698220119,1,1,0.9369369369369369,0.55,15,53,7,1
1,30.999793334711104,1,0,0.9444444444444444,0.55,15,178,7,1
1,59.99600026664889,1,1,0.9444444444444444,0.55,15,178,7,1
1,58.99606692887141,1,1,0.9707112970711297,0.55,15,24,7,1
1,59.99600026664889,1,1,0.9444444444444444,0.55,15,178,7,1
1,49.996666888874074,1,1,0.9369369369369369,0.55,15,53,7,1
1,29.998000133324446,1,1,0.9444444444444444,0.55,15,178,7,1
1,49.996666888874074,1,1,0.8611111111111112,0.35,4,143,7,1
1,24.998333444437037,1,1,0.9707112970711297,0.55,15,24,7,1
1,1342350.9782608696,0,0,0.6805555555555556,0.25,0,165,7,1
1,92.99380041330578,1,1,0.9444444444444444,0.55,15,178,7,1
1,80.994600359976,1,1,0.9444444444444444,0.55,15,178,7,1
1,179.99880000799996,1,0,0.9444444444444444,0.55,15,178,7,1
1,14.999000066662223,1,1,0.9444444444444444,0.55,15,178,7,1
1,25.998266782214518,1,1,0.9444444444444444,0.55,15,178,7,1
1,89.99400039997333,1,1,0.9444444444444444,0.55,15,178,7,1
1,99.99333377774815,1,1,0.9444444444444444,0.55,15,178,7,1
1,149.99000066662222,1,1,0.9444444444444444,0.55,15,178,7,1
1,99.99333377774815,1,1,0.9444444444444444,0.55,15,178,7,1
1,59.99600026664889,1,1,0.9444444444444444,0.55,15,178,7,1
1,187.9874675021665,1,1,0.9444444444444444,0.55,15,178,7,1
1,99.99333377774815,1,1,0.9444444444444444,0.55,15,178,7,1
1,537.964135724285,1,1,0.8623853211009175,0.4,11,176,7,1
1,1342350.9782608696,0,0,0.6805555555555556,0.25,0,165,7,0
1,20.998600093327113,1,1,0.8507157464212679,0.4,11,28,7,1
1,78.99473368442104,1,1,0.9444444444444444,0.55,15,178,7,1
1,219.98533431104593,1,1,0.8623853211009175,0.4,11,176,7,1
1,1342350.9782608696,0,0,0.6805555555555556,0.25,0,165,7,0
1,59.99600026664889,1,1,0.8623853211009175,0.4,11,176,7,1
1,59.99600026664889,1,1,0.9444444444444444,0.55,15,178,7,1
1,999.9333377774815,1,0,0.9444444444444444,0.55,15,178,3,1
1,31.997866808879408,1,1,0.9444444444444444,0.55,15,178,7,1
1,39.99733351109926,1,1,0.9444444444444444,0.55,15,178,7,1
1,119.99200053329778,1,1,0.9444444444444444,0.55,15,178,7,1
1,44.997000199986665,1,1,0.9516129032258065,0.55,15,88,7,1
1,999.9333377774815,1,0,0.9444444444444444,0.55,15,178,3,1
1,49.996666888874074,1,1,0.9444444444444444,0.55,15,178,7,1
1,570.9619358709419,1,1,0.9516129032258065,0.55,15,88,7,1
1,53.996400239984,1,1,0.8611111111111112,0.35,4,143,7,1
1,99.99333377774815,1,1,0.9444444444444444,0.55,15,178,7,1
1,59938.09523809524,0,0,0.8258928571428571,0.75,5,26,7,0
1,49.996666888874074,1,1,0.9707112970711297,0.55,15,24,7,1
1,59.99600026664889,1,1,0.9707112970711297,0.55,15,24,7,1
1,3228.855721393035,1,0,0.8628318584070797,0.8,17,46,7,0
1,88391.17647058824,0,0,0.8396946564885496,0.4,2,62,4,1
1,49.996666888874074,1,1,0.8623853211009175,0.4,11,176,7,1
1,149.99000066662222,1,1,0.9444444444444444,0.55,15,178,7,1
1,286.9808679421372,1,1,0.6875,0.9,9,136,7,1
1,274.9816678888074,1,1,0.9707112970711297,0.55,15,24,7,1
1,97.9934671021932,1,1,0.9444444444444444,0.55,15,178,7,1
1,28.998066795546965,1,1,0.9707112970711297,0.55,15,24,7,1
1,599.9600026664889,1,0,0.9444444444444444,0.55,15,178,3,1
1,139.99066728884742,1,1,0.9516129032258065,0.55,15,88,7,1
1,119.99200053329778,1,1,0.9707112970711297,0.55,15,24,7,1
1,169.98866742217186,1,1,0.9449152542372882,0.6,7,171,7,1
1,98.99340043997067,1,1,0.9090909090909091,0.35,4,187,7,1
1,49.996666888874074,1,1,0.8623853211009175,0.4,11,176,7,1
1,3431.8407960199006,1,0,0.8628318584070797,0.8,17,46,7,0
1,2449.5238095238096,0,0,0.44594594594594594,0.25,0,61,7,1
1,49.996666888874074,1,1,0.9516129032258065,0.55,15,88,7,1
1,2.9999800001333323,1,0,0.7951807228915663,0.6,7,112,7,0
1,100.99326711552563,1,1,0.8623853211009175,0.4,11,176,7,1
1,1342350.9782608696,0,0,0.6805555555555556,0.25,0,165,7,0
1,43.99706686220919,1,1,0.9761336515513126,0.55,15,184,7,1
1,2012097.7173913044,0,0,0.6805555555555556,0.25,0,165,7,1
1,337.97746816878873,1,1,0.855072463768116,0.4,11,179,7,1
